Component Name,Quantity,Link,Purpose,Total Cost (USD),Distributor
,,,,,
,,,,,
ESP32-S3-WROOM-1U Module,2,https://www.lcsc.com/product-detail/C2913202.html,Main microcontroller — 240MHz dual core — BLE 5.0 — WiFi — 8MB PSRAM — USB OTG — runs gesture classifier and BLE stack,9,LCSC / JLCPCB
AD8232ACPZ-R7 EMG Front-End IC,8,https://www.lcsc.com/product-detail/C2655580.html,Single-lead biopotential amplifier — one per EMG channel — 4 channels total per board — amplifies microvolt muscle signals — bandpass filter 0.5Hz–40Hz — lead-off detection,45,LCSC / JLCPCB
ADS1299IPAGR 8-Channel Biosignal ADC,2,https://www.lcsc.com/product-detail/C2660595.html,24-bit resolution — 250Hz sample rate — SPI interface to ESP32-S3 — converts all 4 analog EMG channel outputs to digital simultaneously with high precision,138,LCSC / JLCPCB
INA333AIDGKR Instrumentation Amplifier,2,https://www.lcsc.com/product-detail/C2844428.html,Supplementary differential signal conditioning on EMG channels 3 and 4 — zero-drift — 0.03µV offset — SOIC-8 package,12,LCSC / JLCPCB
BNO055BST IMU,2,https://www.lcsc.com/product-detail/C473401.html,9-axis inertial measurement unit — accelerometer plus gyroscope — detects arm movement to flag and reject motion artifact windows in firmware — I2C interface,5.6,LCSC / JLCPCB
MAX98357AEWL+T I2S Audio Amplifier,2,https://www.lcsc.com/product-detail/C2832946.html,Class D amplifier — 3.2W output — I2S digital input direct from ESP32-S3 — drives 3W 4-ohm speaker — no analog audio routing needed,8,LCSC / JLCPCB
DRV2605LYZFR Haptic Driver IC,2,https://www.lcsc.com/product-detail/C2844419.html,I2C-controlled haptic feedback driver for ERM motor — built-in 100+ effect library — provides gesture confirmation vibration pulse to user,5,LCSC / JLCPCB
MCP73831T-2ATI/OT LiPo Charger IC,2,https://www.lcsc.com/product-detail/C14879.html,Single-cell lithium-ion charger — SOT-23-5 — accepts 5V USB-C input — 100mA charge rate set by 10k PROG resistor — charge status LED output,1.5,LCSC / JLCPCB
TPS61023DRLR Boost Converter IC,2,https://www.lcsc.com/product-detail/C2684705.html,Steps battery voltage 3.0–4.2V up to fixed 5V rail — 2A switch current — 93% efficiency — SOT-23-6 — eliminates brownout resets during BLE transmission,2.4,LCSC / JLCPCB
AMS1117-3.3 LDO Regulator SOT-223,2,https://www.lcsc.com/product-detail/C6186.html,Generates 3.3V rail from 5V boost output — powers ESP32-S3 module and all AD8232 ICs — 800mA current capacity,1.03,LCSC / JLCPCB
BLM18PG601SN1D Ferrite Bead,2,https://www.lcsc.com/product-detail/C1017.html,600 ohm at 100MHz — bridges analog and digital ground planes at single star point — blocks ESP32 2.4GHz RF noise from entering EMG analog signal chain,1.03,LCSC / JLCPCB
SI2301CDS P-Channel MOSFET SOT-23,2,https://www.lcsc.com/product-detail/C10487.html,Power path control between battery and boost converter — prevents reverse current flow during USB charging — 20V 2A rated,1.03,LCSC / JLCPCB
SS14 Schottky Diode SMA,2,https://www.lcsc.com/product-detail/C2480.html,Boost converter output rectifier — 1A 40V — low 0.4V forward voltage drop — protects 5V rail from back-EMF,1.03,LCSC / JLCPCB
